name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1,6dODwocEuGzHAavXqTbwHv,spotify:track:6dODwocEuGzHAavXqTbwHv,0.502,0.504,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,82,228965
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,2,4PdLaGZubp4lghChqp8erB,spotify:track:4PdLaGZubp4lghChqp8erB,0.0483,0.604,0.428,0.0,0.126,-8.441,0.0255,110.259,0.292,79,293048
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,3,7uGYWMwRy24dm7RUDDhUlD,spotify:track:7uGYWMwRy24dm7RUDDhUlD,0.137,0.596,0.563,0.0,0.302,-7.362,0.0269,97.073,0.481,80,203801
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,4,1kbEbBdEgQdQeLXCJh28pJ,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,0.56,0.541,0.366,1e-06,0.0946,-10.412,0.0748,159.707,0.168,82,261228
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,5,7wAkQFShJ27V8362MqevQr,spotify:track:7wAkQFShJ27V8362MqevQr,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,80,262974
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,6,4QMgEffJQuKtjCNvqfRZ0m,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,0.384,0.521,0.72,0.0,0.135,-7.684,0.104,79.943,0.438,81,340428
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7,7IWcDWOfiooH5hRs9XOVYz,spotify:track:7IWcDWOfiooH5hRs9XOVYz,0.624,0.33,0.483,0.0,0.111,-9.394,0.0399,87.115,0.34,78,210789
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,8,5ExOm0dh4NyRyAdSAO9hyM,spotify:track:5ExOm0dh4NyRyAdSAO9hyM,0.178,0.533,0.573,0.0,0.309,-7.123,0.138,150.088,0.398,79,215463
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,9,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P,0.607,0.626,0.428,0.0,0.0921,-8.374,0.0261,94.95,0.487,82,254365
Who's Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,10,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y,0.315,0.606,0.338,0.0,0.106,-10.555,0.048,119.88,0.238,81,334084
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,11,5chnRTB9qMK3W1M41SnU9s,spotify:track:5chnRTB9qMK3W1M41SnU9s,0.768,0.661,0.257,1.72e-06,0.176,-13.961,0.045,106.896,0.318,77,156297
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,12,3YkNIrAvbKNrrwwEd7NVLl,spotify:track:3YkNIrAvbKNrrwwEd7NVLl,0.858,0.423,0.272,0.0,0.108,-12.56,0.0489,78.539,0.195,80,277156
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,13,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,0.123,0.701,0.751,0.0,0.15,-8.39,0.0502,129.994,0.22,82,218004
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,14,1xtw1krCR6Dw2KwkXw5z63,spotify:track:1xtw1krCR6Dw2KwkXw5z63,0.52,0.426,0.41,0.0,0.338,-9.083,0.0581,142.377,0.263,81,245541
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,15,1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,0.422,0.64,0.421,0.0,0.103,-8.802,0.0273,100.056,0.353,78,196900
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,16,4d9PtIEVij9jW5OaLinH66,spotify:track:4d9PtIEVij9jW5OaLinH66,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,76,216662
